ID,cognate,lang,cognateID,borrowed,pgmc_forms
631,zes,nl,44641,,*sehs
632,sechs,de,44641,,*sehs
633,zien,nl,44748,,*sehwan-
634,sehen,de,44748,,*sehwan-
635,see,en,44748,,*sehwan-
636,sinew,en,19150,,*senuwō-
637,Sehne,de,19130,,*senuwō-
638,sit,en,46228,,*set(j)an-
639,zitten,nl,46228,,*set(j)an-
640,sitzen,de,46228,,*set(j)an-
641,see,en,44748,,*sīhwan-
642,silver,en,19299,,*silubra-
643,zilver,nl,19299,,*silubra-
644,Silber,de,19299,,*silubra-
645,sing,en,46116,,*singwan-
646,zingen,nl,46116,,*singwan-
647,singen,de,46116,,*singwan-
648,zinken,nl,46190,,*sinkwan-
649,sinken,de,46190,,*sinkwan-
650,sink,en,50145,,*sinkwan-
651,sew,en,39227,,*siujan-
652,shadow,en,17797,,*skadu-
653,schaduw,nl,17799,,*skadu-
654,Schatten,de,17797,,*skadu-
655,scharf,de,42390,,*skarpa-
656,sharp,en,42390,,*skarpa-
657,scherp,nl,42390,,*skarpa-
658,schoon,nl,42191,,*skawan-
659,schön,de,43822,,*skawan-
660,schicken,de,42694,,*skekkjan-
661,schaap,nl,17647,,*b
662,Schaf,de,17682,,*b
663,sheep,en,17663,,*b
664,schuiven,nl,42743,,*skeuban-
665,schieben,de,42743,,*skeuban-
666,shoot,en,42792,,*skeutan-
667,schieten,nl,42772,,*skeutan-
668,schießen,de,42778,,*skeutan-
669,schijnen,nl,42509,,*skīnan-
670,scheinen,de,42609,,*skīnan-
671,shoe,en,18672,,*skōha-
672,schoen,nl,18685,,*skōha-
673,Schuh,de,18672,,*skōha-
674,schreiten,de,44026,,*skrīþan-
675,schrijden,nl,44016,,*skrīþan-
676,schrede,nl,18648,,*skriþi-
677,Schritt,de,18648,,*skriþi-
678,schudden,nl,44073,,*skudjan-
679,schütten,de,44162,,*skudjan-
680,schütteln,de,44074,,*skudjan-
681,schuld,nl,18724,,*skuldi-
682,Schuld,de,18724,,*skuldi-
683,slaan,nl,42957,,*slahan-
684,schlagen,de,42957,,*slahan-
685,slang,nl,18018,,*slangan-
686,sleep,en,42939,,*slēpan-
687,slapen,nl,42939,,*slēpan-
688,schlafen,de,42939,,*slēpan-
689,Schlitten,de,18119,,*slidan-
690,slee,nl,18119,,*slidan-
691,smelten,nl,43491,,*smeltan-
692,schmelzen,de,43491,,*smeltan-
693,snow,en,18453,,*snaiwa-
694,sneeuw,nl,18453,,*snaiwa-
695,Schnee,de,18453,,*snaiwa-
696,Schnur,de,18526,,*snuzō-
697,sun,en,19497,,*sōel-
698,zon,nl,19497,,*sōel-
699,zoeken,nl,47710,,*sōkjan-
700,suchen,de,47710,,*sōkjan-
701,spade,en,19594,,*spadan-
702,Spaten,de,19594,,*spadan-
703,spin,en,29335,,*spinnan-
704,spread,en,47435,,*sprīþan-
705,sprechen,de,46701,,*sprekan-
706,speak,en,46701,,*sprekan-
707,spreken,nl,46701,,*sprekan-
708,speech,en,16567,,*sprēkō-
709,Sprache,de,19921,,*sprēkō-
710,spring,en,5975,,*spring
711,springen,nl,46712,,*spring
712,staff,en,20039,,*staba-
713,staf,nl,20039,,*staba-
714,Stab,de,20039,,*staba-
715,Stadt,de,20105,,*stadi-
716,stone,en,20366,,*staina-
717,steen,nl,20366,,*staina-
718,Stein,de,20366,,*staina-
719,stang,nl,20183,,*stingan-
720,Stange,de,20183,,*stingan-
721,step,en,18603,,*stap(p)an-
722,sterk,nl,46844,,*starka-
723,stark,de,46844,,*starka-
724,stören,de,47402,,*staurjan-
725,stoßen,de,47255,,*stautan-
726,steken,nl,46920,,*stekan-
727,stechen,de,46920,,*stekan-
728,steal,en,47042,,*stelan-
729,stelen,nl,47042,,*stelan-
730,stehlen,de,47042,,*stelan-
731,sterben,de,47227,,*sterban-
732,sterven,nl,47227,,*sterban-
733,star,en,20394,,*ster(r)a
734,Stern,de,20406,,*ster(r)a
735,stijgen,nl,47100,,*stīgan-
736,steigen,de,47100,,*stīgan-
737,stick,en,46963,,*stik(k)ōn-
738,stem,nl,20490,,*stimnō-
739,Stimme,de,20490,,*stimnō-
740,sting,en,46920,,*stingan-
741,stoel,nl,20921,,*stōla-
742,Stuhl,de,20921,,*stōla-
743,string,en,18510,,*strangi-
744,strong,en,46836,,*strang(j)a-
745,stream,en,47532,,*strauma-
746,stroom,nl,5627,,*strauma-
747,streichen,de,47458,,*strīkan-
748,stroke,en,20760,,*struk(k)ōn-
749,stok,nl,20625,,*stukka-
750,Stock,de,20625,,*stukka-
751,zomer,nl,19433,,*sumara-
752,summer,en,19433,,*sumara-
753,sound,en,36445,,*swimman-
754,zonde,nl,21160,,*sundjō-
755,Sünde,de,21160,,*sundjō-
756,zoon,nl,19420,,*sunu-
757,Sohn,de,19420,,*sunu-
758,sour,en,42282,,*sūra-
